Indicator,PUBLISH STATES,Year,WHO region,Country,Display Value,Numeric,Low,High,Comments
Physicians density (per 1000 population),Published,2002,Western Pacific,Japan,2.0606,2.0606,,,
Physicians density (per 1000 population),Published,1995,Americas,Colombia,0.11,0.11,,,
Physicians density (per 1000 population),Published,2000,Americas,Costa Rica,1.32,1.32,,,
Physicians density (per 1000 population),Published,2007,Africa,Ethiopia,0.022,0.022,,,
Health management & support workers density (per 1000 population),Published,2004,Eastern Mediterranean,Oman,1.33,1.33,,,
Environmental and public health workers density (per 1000 population),Published,2010,South-East Asia,Myanmar,0.05,0.05,,,
Dentistry personnel density density (per 1000 population),Published,2003,Western Pacific,Micronesia (Federated States of),0.0917,0.0917,,,
Community and traditional health workers density (per 1000 population),Published,1996,South-East Asia,Maldives,3.101,3.101,,,
Physicians density (per 1000 population),Published,2010,Africa,Kenya,0.183,0.183,,,<b>Physicians: </b></br><b> Country: </b>Kenya </br><b>Year: </b>2010</br><b>Value:</b>0.183</br><b> Data Source:</b> Kenya Bureau of Statistics
Pharmaceutical personnel density (per 1000 population),Published,2012,Americas,Canada,1.025,1.025,,,
Dentistry personnel density density (per 1000 population),Published,2001,Eastern Mediterranean,Syrian Arab Republic,0.72,0.72,,,Includes only dentists
Laboratory health workers density (per 1000 population),Published,2009,Americas,Guyana,0.104,0.104,,,
Other health workers density (per 1000 population),Published,2008,Africa,Nigeria,0.011,0.011,,,
Nursing and midwifery personnel density (per 1000 population),Published,2010,Europe,Romania,5.456,5.456,,,"<b>Nursing and midwifery personnel: </b>Includes practising nurses and practising midwives</br><b> Country: </b>Romania </br><b>Year: </b>2010</br><b>Value:</b>5.456</br><b> Data Source:</b> Health for all database, WHO/EURO "
Dentistry personnel density density (per 1000 population),Published,1993,Americas,Cuba,0.79,0.79,,,Includes only dentists
Other health workers density (per 1000 population),Published,1998,Americas,Ecuador,0.87,0.87,,,
Health management & support workers density (per 1000 population),Published,2008,Western Pacific,Samoa,2.32,2.32,,,
Laboratory health workers density (per 1000 population),Published,2004,Africa,Mauritius,0.26,0.26,,,
Nursing and midwifery personnel density (per 1000 population),Published,2007,Western Pacific,Tonga,2.932,2.932,,,Includes only nurses
Physicians density (per 1000 population),Published,1997,Americas,Saint Kitts and Nevis,1.116,1.116,,,
Physicians density (per 1000 population),Published,2008,Africa,Ghana,0.11,0.11,,,
Community and traditional health workers density (per 1000 population),Published,2008,Africa,Nigeria,0.137,0.137,,,
Nursing and midwifery personnel density (per 1000 population),Published,1992,Western Pacific,Japan,6.7973,6.7973,,,
Other health workers density (per 1000 population),Published,2008,South-East Asia,Bhutan,0.414,0.414,,,
Dentistry personnel density density (per 1000 population),Published,2008,Western Pacific,Tuvalu,0.18,0.18,,,
Nursing and midwifery personnel density (per 1000 population),Published,1990,Africa,Zimbabwe,1.449,1.449,,,
Dentistry personnel density density (per 1000 population),Published,1996,Eastern Mediterranean,Tunisia,0.122,0.122,,,Includes only dentists
Physicians density (per 1000 population),Published,2008,Western Pacific,Nauru,0.714,0.714,,,
Physicians density (per 1000 population),Published,2004,Africa,C?te d'Ivoire,0.12,0.12,,,
Physicians density (per 1000 population),Published,2009,Africa,Central African Republic,0.048,0.048,,,
Physicians density (per 1000 population),Published,2008,Africa,Malawi,0.019,0.019,,,
Environmental and public health workers density (per 1000 population),Published,2010,Africa,Sierra Leone,0.026,0.026,,,
Other health workers density (per 1000 population),Published,2007,Europe,Turkey,1.057,1.057,,,
Other health workers density (per 1000 population),Published,2004,Africa,Zambia,0.3,0.3,,,
Environmental and public health workers density (per 1000 population),Published,2008,Africa,Liberia,0.011,0.011,,,
Health management & support workers density (per 1000 population),Published,1995,Americas,Ecuador,0.33,0.33,,,
Nursing and midwifery personnel density (per 1000 population),Published,2001,Americas,Saint Vincent and the Grenadines,4.034,4.034,,,<b>Nursing and midwifery personnel: </b></br><b> Country: </b>Saint Vincent and the Grenadines</br><b>Year: </b>2001</br><b>Value:</b>4.034</br><b> Data Source:</b> Saint Vincent 2001 Census
Physicians density (per 1000 population),Published,2004,Africa,Sao Tome and Principe,0.49,0.49,,,
Laboratory health workers density (per 1000 population),Published,2007,Americas,Canada,0.6,0.6,,,
Physicians density (per 1000 population),Published,2011,Europe,Albania,1.113,1.113,,,"<b>Physicians: </b>Includes practising physicians</br><b> Country: </b>Albania </br><b>Year: </b>2011</br><b>Value:</b>1.113</br><b> Data Source:</b> Health for all database, WHO/EURO "
Nursing and midwifery personnel density (per 1000 population),Published,2005,Americas,Brazil,3.776,3.776,,,Includes only nurses
Pharmaceutical personnel density (per 1000 population),Published,2005,Eastern Mediterranean,Oman,0.355,0.355,,,
Nursing and midwifery personnel density (per 1000 population),Published,2001,Africa,Botswana,2.282,2.282,,,<b>Nursing and midwifery personnel: </b></br><b> Country: </b>Botswana </br><b>Year: </b>2001</br><b>Value:</b>2.282</br><b> Data Source:</b> Central Statistics Office
Physicians density (per 1000 population),Published,2009,Eastern Mediterranean,Iraq,0.69,0.69,,,
Other health workers density (per 1000 population),Published,2009,Europe,The former Yugoslav Republic of Macedonia,6.538,6.538,,,
Pharmaceutical personnel density (per 1000 population),Published,1996,Western Pacific,Niue,0.5,0.5,,,Includes only pharmacists
Pharmaceutical personnel density (per 1000 population),Published,2008,Western Pacific,Kiribati,0.21,0.21,,,
Laboratory health workers density (per 1000 population),Published,1993,South-East Asia,Sri Lanka,0.048,0.048,,,
Dentistry personnel density density (per 1000 population),Published,2007,Africa,Algeria,0.325,0.325,,,
Dentistry personnel density density (per 1000 population),Published,2005,Africa,Rwanda,0.004,0.004,,,Includes only technicians/assistants
Laboratory health workers density (per 1000 population),Published,2008,Americas,Bahamas,0.509,0.509,,,
Community and traditional health workers density (per 1000 population),Published,2005,Africa,Guinea,0.018,0.018,,,
Dentistry personnel density density (per 1000 population),Published,2004,South-East Asia,Myanmar,0.03,0.03,,,
Dentistry personnel density density (per 1000 population),Published,2001,Western Pacific,Singapore,0.26,0.26,,,
Other health workers density (per 1000 population),Published,2003,Americas,Grenada,0.09,0.09,,,
Pharmaceutical personnel density (per 1000 population),Published,1993,Europe,Turkey,0.291,0.291,,,Includes only pharmacists
Laboratory health workers density (per 1000 population),Published,2008,Western Pacific,Tuvalu,0.09,0.09,,,
Other health workers density (per 1000 population),Published,1994,Western Pacific,Japan,2.0242,2.0242,,,
Dentistry personnel density density (per 1000 population),Published,2004,Africa,Zambia,0.04,0.04,,,
Dentistry personnel density density (per 1000 population),Published,1998,Eastern Mediterranean,Pakistan,0.0254,0.0254,,,
Pharmaceutical personnel density (per 1000 population),Published,2007,Eastern Mediterranean,Egypt,1.51,1.51,,,Includes only pharmacists
Nursing and midwifery personnel density (per 1000 population),Published,2004,Western Pacific,Kiribati,3.0232,3.0232,,,
Pharmaceutical personnel density (per 1000 population),Published,2004,Africa,Equatorial Guinea,0.24,0.24,,,
Pharmaceutical personnel density (per 1000 population),Published,2012,South-East Asia,Bhutan,0.228,0.228,,,
Dentistry personnel density density (per 1000 population),Published,2006,Eastern Mediterranean,Qatar,0.579,0.579,,,
Community and traditional health workers density (per 1000 population),Published,2009,Eastern Mediterranean,Pakistan,0.063,0.063,,,
Dentistry personnel density density (per 1000 population),Published,1996,Americas,Ecuador,0.16,0.16,,,Includes only dentists
Physicians density (per 1000 population),Published,2008,Africa,Rwanda,0.052,0.052,,,
Other health workers density (per 1000 population),Published,1992,Americas,Chile,2.973,2.973,,,
Nursing and midwifery personnel density (per 1000 population),Published,2001,Eastern Mediterranean,Pakistan,0.4288,0.4288,,,
Dentistry personnel density density (per 1000 population),Published,2010,Eastern Mediterranean,Iraq,0.148,0.148,,,
Physicians density (per 1000 population),Published,2006,Eastern Mediterranean,Oman,1.753,1.753,,,
Environmental and public health workers density (per 1000 population),Published,2004,Africa,Uganda,0.04,0.04,,,
Physicians density (per 1000 population),Published,2006,Americas,Canada,1.9132,1.9132,,,
Pharmaceutical personnel density (per 1000 population),Published,2003,Africa,Ethiopia,0.02,0.02,,,
Health management & support workers density (per 1000 population),Published,2004,Africa,Gambia,0.14,0.14,,,
Pharmaceutical personnel density (per 1000 population),Published,2004,Africa,South Africa,0.28,0.28,,,
Pharmaceutical personnel density (per 1000 population),Published,2000,Western Pacific,Republic of Korea,1.08,1.08,,,Includes only pharmacists
Dentistry personnel density density (per 1000 population),Published,2002,Western Pacific,Malaysia,0.0901,0.0901,,,
Laboratory health workers density (per 1000 population),Published,2006,Africa,Cabo Verde,0.091,0.091,,,
Health management & support workers density (per 1000 population),Published,2012,South-East Asia,Indonesia,0.513,0.513,,,
Nursing and midwifery personnel density (per 1000 population),Published,2008,Western Pacific,Tonga,3.53,3.53,,,
Pharmaceutical personnel density (per 1000 population),Published,2008,Western Pacific,Micronesia (Federated States of),0.14,0.14,,,
Dentistry personnel density density (per 1000 population),Published,2008,Americas,Jamaica,0.091,0.091,,,
Laboratory health workers density (per 1000 population),Published,2001,Americas,Canada,1.07,1.07,,,
Dentistry personnel density density (per 1000 population),Published,2009,Europe,Kazakhstan,0.385,0.385,,,
Nursing and midwifery personnel density (per 1000 population),Published,2000,South-East Asia,India,1.21,1.21,,,
Physicians density (per 1000 population),Published,2004,Western Pacific,Niue,2,2,,,
Physicians density (per 1000 population),Published,1998,Americas,Haiti,0.25,0.25,,,
Physicians density (per 1000 population),Published,2007,Western Pacific,Brunei Darussalam,1.008,1.008,,,
Other health workers density (per 1000 population),Published,2010,Africa,Burkina Faso,0.171,0.171,,,
Physicians density (per 1000 population),Published,2008,Americas,United States of America,2.42,2.42,,,
Pharmaceutical personnel density (per 1000 population),Published,2008,Americas,Jamaica,0.064,0.064,,,
Health management & support workers density (per 1000 population),Published,2004,Africa,Burundi,0.3,0.3,,,
Nursing and midwifery personnel density (per 1000 population),Published,2004,Eastern Mediterranean,Syrian Arab Republic,1.872,1.872,,,
Physicians density (per 1000 population),Published,2010,Western Pacific,Singapore,1.921,1.921,,,<b>Physicians: </b></br><b> Country: </b>Singapore </br><b>Year: </b>2010</br><b>Value:</b>1.921</br><b> Data Source:</b> Ministry of Health
Environmental and public health workers density (per 1000 population),Published,2009,Africa,Ethiopia,0.015,0.015,,,
Community and traditional health workers density (per 1000 population),Published,2008,Africa,Ethiopia,0.296,0.296,,,
Laboratory health workers density (per 1000 population),Published,1999,Eastern Mediterranean,Oman,0.367,0.367,,,
Environmental and public health workers density (per 1000 population),Published,2004,Eastern Mediterranean,Tunisia,0.09,0.09,,,
Other health workers density (per 1000 population),Published,2007,Western Pacific,Brunei Darussalam,0.069,0.069,,,
Environmental and public health workers density (per 1000 population),Published,2003,Americas,Grenada,0.19,0.19,,,
Dentistry personnel density density (per 1000 population),Published,2004,Africa,Mali,0.01,0.01,,,Includes only technicians/assistants
Dentistry personnel density density (per 1000 population),Published,1999,Americas,Saint Kitts and Nevis,0.326,0.326,,,Includes only dentists
Health management & support workers density (per 1000 population),Published,2006,Americas,Canada,0.0987,0.0987,,,
Physicians density (per 1000 population),Published,2012,South-East Asia,Indonesia,0.204,0.204,,,<b>Physicians: </b></br><b> Country: </b>Indonesia </br><b>Year: </b>2012</br><b>Value:</b>0.204</br><b> Data Source:</b> Kementerian Kesehatan Republik Indonesia
Physicians density (per 1000 population),Published,2003,Europe,Turkey,1.324,1.324,,,
